Date,0,1,2
1997-01-10,2.25465586823,3.36732151066,1.54007150681
1997-01-17,-6.01433837589,-3.8249882134,-4.10767391402
1997-01-24,-1.43076362221,-6.63750689449,-4.61662211858
1997-01-31,0.348736186042,0.732604009207,-1.51221027855
1997-02-07,-1.97765179765,-0.732604009207,-1.87986168107
1997-02-14,-7.84534991713,-7.63729787846,-11.054934252
1997-02-21,-1.40200507725,-2.40975515791,1.59289764936
1997-02-28,-3.51782619687,-4.71654684424,-7.68346268764
1997-03-07,-2.39868606833,0.28368813352,-3.47257113738
1997-03-14,-1.35207467958,2.51761548925,3.19916016734
1997-03-21,2.12388195824,1.64387263432,7.76706025049
1997-03-28,-4.0800638179,-1.09290705322,-2.6959270717
1997-04-04,-4.86833893041,-5.65122102633,-6.79709939304
1997-04-11,-4.00282139822,-6.29893341507,-2.18241678403
1997-04-18,1.10241905579,1.84054275427,2.32159565131
1997-04-25,2.45096338365,1.50832422113,1.24396904756
1997-05-02,1.78576174,3.81837869702,0.820798041783
1997-05-09,-0.110680697519,1.1461443519,-2.06476708935
1997-05-16,7.26039148743,5.81076308073,8.65476626294
1997-05-23,2.49186552129,3.43494800146,0.952085897066
1997-05-30,-3.89194024495,-1.30720815674,-3.53620901545
1997-06-06,-4.54016557793,-3.75379193191,-2.5183570787
1997-06-13,-8.07715706796,-7.07508561178,-7.16329786247
1997-06-20,2.28414029908,-0.588236990307,1.64465630574
1997-06-27,2.68510847228,0.588236990307,1.05821093305
1997-07-04,3.70720183636,3.17486983146,1.8770102682
1997-07-11,-1.31221128369,-3.46855579879,-1.8770102682
1997-07-18,0.494099275874,1.16960397632,1.53206339287
1997-07-25,1.68345001978,0.290275965796,-1.25175487016
1997-08-01,2.07841214623,3.41913647483,1.38987643908
1997-08-08,1.10150602307,1.39084300461,4.98084105745
1997-08-15,-2.85733724441,-2.51761548925,-0.791039062242
1997-08-22,-0.161160389434,0.564973254212,0.132275151562
1997-08-29,-4.22791488441,-1.7045867273,-2.00273716504
1997-09-05,1.50295063967,1.98588086496,-2.18140892537
1997-09-12,0.0552333623542,-0.281294137661,-2.23005757241
1997-09-19,0.605561993649,0.0,1.53849188395
1997-09-26,3.29314508372,1.95264223504,3.87935680776
1997-10-03,6.72565446214,4.06009756222,5.70842381176
1997-10-10,2.98383593863,4.66405774531,4.62047074185
1997-10-17,-5.95709602453,-3.60863897744,-3.92929613983
1997-10-24,0.0511378175296,-0.262812240627,-1.8963905859
1997-10-31,-1.49371821804,0.0,0.127551037701
1997-11-07,-0.676909640147,-0.527705710084,-1.02499295843
1997-11-14,2.32388459316,-0.530505222969,-3.73936646143
1997-11-21,-2.01089529227,-2.1506205221,-4.65200156349
1997-11-28,-1.83973651397,-1.09290705322,-4.00053346137
1997-12-05,-5.05955063472,-4.49513878623,-8.51578083403
1997-12-12,-3.40555044125,-3.50913198113,-5.46405778476
1997-12-19,-1.62983817331,-4.25596144188,-5.60249900399
1997-12-26,0.117302066236,-0.936044275956,-0.97996329888
1998-01-02,-6.41478198238,-4.48793261774,-3.275998143
1998-01-09,-3.95207581623,-10.3540678941,-11.1443322186
1998-01-16,-3.03653693019,-5.6089466651,-3.5793294606
1998-01-23,-1.34954814749,1.90481949707,-1.62078102269
1998-01-30,5.87046212266,2.97419691987,10.6340427544
1998-02-06,-4.52091397517,-5.26437334854,-4.50752317516
1998-02-13,-3.82560311555,-2.3438572972,-1.02987522006
1998-02-20,-4.85116514257,-2.40011520995,-7.41079721537
1998-02-27,-2.66682470822,-5.40672212703,-4.21234728112
1998-03-06,-1.43669767975,0.0,0.348230183587
1998-03-13,-6.44877481183,-8.468308723,-18.9531728744
1998-03-20,-2.96806618188,-3.30999484263,-6.06246218164
1998-03-27,20.0974947385,18.3922838161,18.9241999639
1998-04-03,-5.77625339574,-1.61293819299,15.1684587332
1998-04-10,-5.97638611227,-3.72713947972,-2.35556929909
1998-04-17,4.22067166432,0.421053253634,1.71862447054
1998-04-24,0.662010508961,5.31822654603,0.636944828548
1998-05-01,2.60506771999,0.397614837964,-3.00774552373
1998-05-08,-0.357782134788,3.89154162497,3.85074313977
1998-05-15,3.10540126319,-1.15164420616,-0.631581046812
1998-05-22,1.17445218693,-4.33993155346,-1.59662785005
1998-05-29,-0.75836282101,1.20241929668,6.5409922473
1998-06-05,-5.842116885,0.793654959574,-6.64834598815
1998-06-12,-8.97497323491,-5.27505653855,-12.8175193424
1998-06-19,-13.1927543043,-8.70113769896,-7.60823064574
1998-06-26,9.09717782057,6.16935690053,16.8168290907
1998-07-03,-0.755353990091,-0.4282661792,2.20273223183
1998-07-10,-1.78500276992,-0.430108189939,0.867684402569
1998-07-17,3.20702589583,1.28481424778,1.18090475922
1998-07-24,0.662254076049,5.38432320208,-6.61762898662
1998-07-31,3.96331693357,2.39055208536,3.032236802
1998-08-07,-4.12846973741,-3.20027310862,-0.221484032955
1998-08-14,-6.04696751436,-3.30608622609,-6.88345058203
1998-08-21,5.21708723289,2.89875368733,-2.76959303893
1998-08-28,1.324522675,2.41947285871,-6.42943507054
1998-09-04,2.11561999673,-1.60646025038,5.44783209677
1998-09-11,1.51820734715,0.404040953701,9.51980784646
1998-09-18,2.42863483776,1.99607425625,10.0190222023
1998-09-25,11.8814495263,10.1400114442,8.64195859591
1998-10-02,-0.828162083172,0.0,-0.466201310581
1998-10-09,-5.85045561224,-3.63676441709,-4.19909017252
1998-10-16,-8.90841937527,-9.3090423066,-5.40672212703
1998-10-23,-5.87188085108,-0.816331063916,-7.69610411361
