,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,-3.67612395477,-20.2750304406,-4.05000138199,-7.20088372118,-18.2082053574,-17.5167239586,-26.8364436025,-9.76691470683,-30.4695604269,-18.762763127,-2.41044487017,-15.2537346709,-283.935369403,-10.0761897093,-41.877902751,-2.67983240485,-10.8781701001,-16.3824947729,-8.34167688928,-10.1882201862,-3.63954879875,-13.7174417281,-6.34971666173,-21.2266028722,-3.28257239841,-24.5418868614,-8.34076600937,-6.71666178096,-8.4059221533,-19.7644126795
1,-5.56668328357,-19.9196813792,-11.0336900116,-4.63297534003,-19.344516147,-17.4868492626,-19.4543713576,-12.3501581703,-18.019905237,-18.7699281725,-5.0323640912,-11.995246372,-206.20113389,-9.10173688523,-40.0149626186,-2.8830168253,-10.5192338451,-15.395573276,-8.4719701103,-9.16393186932,-4.83127260411,-10.4003302807,-8.00724681902,-12.6160277841,-4.31698108692,-17.6952857444,-7.00380818277,-4.85802142361,-10.1611193347,-18.4723640367
2,-4.58404225238,-19.8291156665,-7.37147150376,-8.37188933361,-15.6784409411,-16.9750809501,-12.3022601743,-9.88588904347,-13.8000221692,-18.7738995816,-3.40731277762,-9.03401003221,-48.1366917989,-7.33317403561,-38.4831443903,-3.61914279638,-9.58198516198,-14.8994610077,-8.57589674741,-8.61602996195,-4.39223453183,-8.39775921604,-4.57925479947,-15.8742492284,-3.58128600752,-16.0401327685,-6.12419158996,-4.15169534564,-9.13548508779,-13.9110820662
3,-5.83483051932,-19.4687132891,-5.21676967552,-9.28750368,-17.2839539619,-17.0649330587,-6.37591603521,-7.81038075511,-12.117002855,-18.7689369178,-5.82221202294,-8.64526179536,-5.13700694317,-9.75107294606,-31.5759989421,-5.70401019858,-9.07215381232,-15.2384331594,-8.0828552914,-8.70500259681,-3.56229009202,-7.39879871833,-3.9638929298,-13.8109958145,-4.21449120533,-21.7304666143,-5.68304200321,-7.5027187475,-11.8531162513,-18.4497850866
4,-8.92727967942,-20.7431244775,-6.90407505227,-7.17300834367,-15.5318323548,-16.3749826021,-5.15417205848,-10.0662653619,-10.3305880971,-18.7808010854,-4.8853100644,-8.72175235354,-5.796668539,-11.5647500265,-25.2511073919,-8.83522506702,-11.4919585629,-15.0631418259,-7.5270301333,-10.1488913299,-3.34497875283,-8.29410444374,-6.09194253765,-11.5654434934,-3.98009543249,-13.8719718584,-8.33517758494,-8.61392048416,-10.4623249989,-16.6810025397
5,-6.00961929215,-19.2917882757,-6.56074308216,-6.7095988775,-12.2365189319,-15.2441155986,-3.74754620455,-8.98617594436,-10.3916008859,-18.7878405029,-6.63321673025,-9.14698977684,-7.24304957655,-9.97687140923,-26.0103665019,-6.67580131744,-10.3601139884,-14.4137227759,-7.73033934605,-8.45411879716,-3.30021195686,-10.456075819,-9.89754402524,-10.4190238594,-5.07962733845,-15.8766641373,-7.70571749958,-7.72456937012,-10.3528332422,-14.5202066144
6,-4.62881839801,-18.9061066177,-5.12937608782,-5.65757170365,-14.3166958917,-14.8887442495,-3.17220714416,-10.7534398458,-8.16972577719,-18.8019896623,-5.27996195262,-8.13054123502,-5.68194595023,-8.41570088114,-18.7192115429,-4.24782514519,-10.5907370187,-14.7913955004,-8.15725608615,-8.20254477162,-3.22931547479,-8.67214010246,-7.14078677704,-9.50485600713,-4.32371203541,-21.6877164605,-7.53461052397,-6.01905378284,-10.2188288132,-12.0767667448
7,-6.81788189944,-22.9876980358,-4.63512768653,-4.90763358133,-12.3334078223,-14.3751501996,-4.53510194541,-10.1938207619,-11.4154848833,-18.7953590498,-7.9768590844,-8.2565840432,-10.5582023414,-10.8337111399,-16.771212395,-6.65443146662,-10.8135164216,-15.2313741931,-7.59249814926,-10.0185512156,-4.69185462066,-13.7764100284,-10.3201122473,-9.58907790096,-7.17220273501,-14.2792945845,-8.01221138395,-9.7306236042,-10.023952304,-7.20216768629
8,-6.04266688117,-22.682380796,-5.85058688074,-4.23672120969,-10.1957550336,-12.8914990772,-3.85454586486,-9.25194045876,-11.6272678851,-18.7713694124,-7.24691578247,-7.4990346787,-9.26421686369,-8.45020950651,-12.8792507704,-5.32064632103,-10.6844574678,-15.3565754051,-9.66080164385,-8.68678881494,-6.46344072023,-14.2782304782,-10.1991108749,-11.5236807657,-5.88337245612,-22.4048362682,-7.33214446928,-7.70639396678,-9.30342424084,-6.23879697306
9,-6.56076365373,-20.3823486571,-6.92770682749,-5.96741737736,-8.72349182423,-12.3963137015,-5.97924500977,-9.46001457156,-10.100525374,-18.7715679422,-4.9045952434,-6.72767542831,-8.18588550168,-12.7205880675,-10.2769346091,-3.96318206064,-10.0386503024,-15.2522415042,-9.88214424159,-8.10867778331,-5.80519163887,-11.0398571642,-9.54519309079,-10.6696252579,-4.54913310735,-17.7741754478,-7.95824127841,-10.205055706,-9.54700938236,-9.25782230732
10,-10.801857902,-23.9600041665,-10.2887711673,-4.64841996537,-9.02242455776,-15.1368522795,-6.80155145874,-10.4302558432,-9.4119566668,-18.7677338851,-10.4086932532,-7.2346115215,-12.5990300601,-13.9372529084,-11.2427386696,-13.812933705,-8.36390134267,-14.9175536238,-9.91079290176,-14.4535313003,-5.72919997758,-20.3525489559,-11.1650372694,-10.5169537564,-8.43731330998,-13.8313175782,-7.65032437656,-9.49981765597,-13.5057866007,-7.39645640058
11,-8.09930211803,-23.5606384027,-9.33761408738,-8.18324689111,-15.2363556313,-15.3830578233,-5.55998053278,-9.52077272291,-7.47527034514,-18.7805604804,-9.79293675082,-7.7939282204,-11.4625087151,-12.0087752075,-9.45376302766,-11.6338673846,-7.24660882758,-15.21253425,-9.38936981067,-13.7290580145,-5.48045424127,-15.6678144264,-8.72941156146,-10.4257023163,-7.37107692906,-12.2753936114,-7.12214925911,-6.89403706062,-12.0650691656,-9.38779597347
12,-8.28602026539,-21.2050624604,-9.21831640128,-6.7924432611,-12.3178232976,-15.0395577107,-7.187793233,-13.3327913957,-12.6697933155,-18.7877059918,-10.8412459771,-9.45963021718,-12.7043876817,-11.8973569794,-16.3592792213,-16.2695295958,-10.5244467356,-15.2031869242,-8.94444288352,-14.2704387125,-6.08628161265,-10.449557058,-10.2463471136,-13.8566738978,-9.20532518531,-17.0579420035,-13.3672166366,-8.80416481334,-12.1609706317,-13.2046474469
13,-7.40518347398,-19.9756768835,-9.43378580988,-8.93419508905,-12.3150563421,-14.3137316391,-6.2776558328,-12.4144269418,-11.8274085889,-18.817867309,-6.1438305093,-9.60420863766,-9.77220713824,-17.9733052064,-16.1694926057,-12.8280608049,-8.25220376004,-15.7811143526,-8.42849131249,-13.8033342697,-5.02079101293,-13.0614755364,-8.89489722986,-12.960997537,-7.34444266738,-13.8209012295,-12.9142023069,-6.37715642762,-11.3585800583,-12.8714034946
14,-10.6599687564,-21.4111336655,-9.19862991605,-8.91892697006,-17.9439909973,-13.9038163557,-7.46053818633,-13.8591278619,-11.065386102,-18.8050034615,-6.26572721625,-9.1521301237,-10.6757202671,-11.0580761092,-13.4019927648,-10.1683264852,-11.7730972058,-14.7028041684,-8.67745666114,-17.7114454994,-6.47947699048,-9.95512934303,-10.3636264141,-11.291425813,-7.55000542637,-13.0581275376,-13.7655489902,-9.24047623227,-12.0823072816,-7.4576497772
15,-8.06486231088,-20.007398288,-7.74912051032,-6.80784729779,-14.1671886946,-13.0657890661,-10.2930263705,-14.2231857982,-12.5032774671,-18.8016351032,-7.53003657567,-9.82407210051,-11.3098729481,-15.423351939,-10.9880263036,-10.4203400935,-10.6964368878,-15.1875926046,-8.50046019777,-15.3424176267,-5.41498997033,-10.8371928674,-11.545347787,-9.3238140942,-7.93820178607,-17.7560317951,-13.43126592,-6.91925601855,-12.4217267247,-10.0265047582
16,-13.3998328549,-21.0807034735,-10.1383573361,-7.47523951267,-14.3985654726,-12.6430711552,-9.32599847413,-12.9161470531,-15.0663751908,-18.8004806779,-8.82275574675,-12.4822763845,-15.6382927118,-19.1751017546,-11.0731395623,-11.4081111379,-12.7934085256,-15.9108565642,-8.9160121944,-16.4416053125,-5.27658492394,-9.21122183074,-15.4439860232,-13.9705993936,-7.1203902224,-13.3433159943,-18.8419338228,-7.11486590475,-14.1497996232,-21.252615239
17,-10.3181105737,-20.7399900134,-8.30419269659,-7.44905868413,-13.2327472594,-14.3351837972,-6.83721894891,-11.317694039,-11.5700243301,-18.7893723538,-4.9750395531,-12.9988083817,-14.4755547699,-12.3629711577,-11.8412085351,-7.57041982412,-19.9630898743,-15.3666610389,-8.1553599897,-13.437560631,-4.59005747002,-11.7239458596,-9.88524886935,-11.9132216079,-5.12900625477,-15.70304752,-15.4586325885,-5.89086950229,-16.9989135102,-12.9367252463
18,-7.1997301136,-20.2216821778,-8.0367026744,-5.17287220729,-12.9579112684,-13.6691681961,-12.4116303358,-10.2479127447,-8.70270701772,-18.7726969907,-4.49822926905,-12.2951921146,-11.3268242902,-9.22342797363,-9.3039252999,-7.98194571507,-17.2214592355,-15.8757291515,-8.24191312964,-13.852148835,-3.68127057309,-8.52107551466,-7.04628488497,-10.6467067225,-3.98613877396,-12.7929749645,-12.6149442387,-5.47485520912,-14.0583325724,-11.6543432919
19,-7.2075267117,-21.3635552299,-8.48869075936,-4.02164288196,-10.5216674913,-13.130781403,-11.4595880788,-8.94755439727,-6.11913995088,-18.7300760952,-3.57590624837,-12.3375726395,-9.32615588487,-7.76403662826,-6.99711721206,-7.82743562366,-19.3434272021,-15.1256966868,-7.62231073659,-10.9875985286,-3.05920236648,-7.38393337965,-6.05160468561,-9.65101811973,-3.33922185257,-15.1776083655,-10.6469252054,-6.66930969269,-12.7940981197,-9.10548486486
20,-9.05124927682,-20.4901360966,-8.15818515316,-11.8005078627,-11.5923146976,-14.2094270524,-10.5375150872,-12.4330044403,-6.39110287993,-18.7548909936,-7.05648901475,-12.2581124103,-12.7296058953,-9.61196461868,-22.5818694363,-8.89971941271,-20.5625650703,-15.626138429,-8.7037341586,-13.625354891,-3.00202105929,-7.2840445347,-6.87615545792,-13.0607155836,-6.44297272341,-14.2657690771,-13.4058599306,-8.39792705354,-16.1099142506,-14.6849332476
21,-7.79422085779,-20.3006334466,-8.94883398211,-11.3494625003,-11.208837213,-13.6969294557,-14.3245181218,-11.3418749961,-5.37350253722,-18.7516475959,-7.26561301516,-11.3761920854,-10.8305261958,-9.84469876365,-20.6655456493,-6.41747200232,-16.3139802066,-15.1631062676,-13.5816059881,-21.4122262544,-4.01110001116,-7.18204237178,-5.63936110658,-11.9939478659,-6.85974979078,-14.8890376822,-11.8625071386,-6.54975673002,-17.2822294813,-14.2526683081
22,-5.95066338885,-20.1280514656,-7.24954565471,-9.71501309895,-11.3577309146,-13.6817021698,-10.7705889709,-12.9104454314,-5.50304025363,-18.770280232,-3.92455460805,-11.733480481,-11.2743822573,-9.0992956563,-18.2395666338,-5.03344530772,-12.8878341754,-14.0357050616,-12.6075297195,-16.9626305576,-6.01965756119,-5.79479729579,-7.48915490721,-12.4734945136,-5.58805461091,-14.8591353533,-11.239569714,-8.93664403518,-14.7382340615,-8.87953477836
23,-6.97902039534,-19.9958073949,-7.38137869794,-10.3261279888,-12.4224951214,-14.4724075125,-11.73873867,-12.196572162,-5.49973588165,-18.8362398958,-5.9648516756,-12.1690684222,-9.05480438404,-11.9021064928,-14.6698435132,-6.4964123037,-12.5885317877,-14.3613949274,-11.5409554428,-14.6656329201,-6.23691751382,-8.2071022437,-7.27002978865,-11.575388232,-6.44843327412,-14.8142029348,-10.5089141956,-8.28619068526,-17.7906098515,-17.164711091
24,-5.11112004953,-19.1261144418,-7.15481584151,-8.72285902847,-11.3317928635,-14.1013096546,-9.14426699931,-11.3120608846,-4.92322714366,-18.8119651039,-5.25495920741,-11.1016599063,-7.49800476871,-9.17144882313,-10.0486541373,-4.89223663088,-8.62044686258,-14.7591310911,-9.99234387257,-11.5984407525,-5.72223547574,-10.5438794953,-9.36817373541,-11.213477365,-4.66831120079,-12.2564578855,-10.9093833933,-6.00871966917,-14.5016396622,-9.434955795
25,-12.2849328084,-19.7163701848,-7.62259229878,-13.1656201818,-12.454932892,-14.4795541549,-6.43661658153,-14.5203501686,-8.52780421236,-18.7858457471,-6.78279721429,-12.9787022391,-9.94189309872,-16.5126831108,-11.9329977999,-7.65773933541,-10.8572707113,-14.5082048415,-9.34051518086,-13.5161224447,-6.02239209458,-17.8493408504,-8.12017612104,-17.1010985662,-6.35117042453,-13.5861539229,-15.2943647135,-12.3887283526,-14.6618501667,-16.6869552439
26,-7.81762861103,-18.8327093406,-6.50517185019,-17.2074958749,-11.6142076585,-15.8437895533,-5.24061065413,-12.4480498011,-8.48938756711,-18.795179966,-8.8603440416,-12.7578690248,-10.4094690668,-10.8949775331,-16.2594057313,-5.3958758323,-9.44440350132,-13.9947699582,-9.14637479646,-12.9984716473,-5.5298540289,-11.3322073448,-6.84098068709,-15.010312835,-4.96717422204,-12.2281741569,-13.7742952694,-7.15871786705,-17.920035092,-16.7012739982
27,-4.96728237722,-18.8682407334,-6.65347552583,-12.8591899552,-12.5797519626,-16.6044266906,-6.65139353952,-10.5085166101,-8.71797197768,-18.7681527424,-9.94623649833,-13.4025245138,-9.83084292443,-9.55899304617,-11.4166910261,-3.96248748569,-8.28697753274,-13.9811446929,-8.98291303112,-11.1404138088,-5.3263766353,-12.5671211289,-5.52361559194,-14.1292099246,-4.07264056862,-21.0075634752,-12.7076545069,-6.26160068056,-15.484363326,-17.4354742677
28,-9.40158742121,-20.1029073225,-7.91721516679,-16.1366915761,-10.6597723851,-17.7089986563,-6.00235939728,-13.001752755,-12.1246387098,-18.7662346459,-12.5594110103,-14.3092710307,-19.5345219604,-16.7898481499,-10.2588790577,-9.78627716812,-19.9242547774,-15.1429258429,-31.4068413814,-13.6990929202,-7.01075772874,-18.993210685,-11.9422489487,-13.602859945,-13.5628504969,-17.4705870533,-16.6581548233,-12.4029792205,-17.537487481,-15.1323144546
29,-5.87826016167,-19.6353359276,-7.33961752914,-11.9810131082,-9.24736932416,-17.1095925605,-4.46235631129,-10.9643545349,-9.97390447627,-18.7719815936,-8.78020908342,-14.3009768509,-18.5197727291,-16.3411284172,-6.79320853982,-6.90866283739,-18.2813001088,-14.5980630691,-20.3751135299,-11.2622695053,-6.25295496225,-15.2548903878,-12.6361426875,-12.8020625781,-12.0153110892,-12.8203796039,-13.9918520092,-9.83696494627,-14.591946015,-19.9114144725
30,-7.78876115606,-23.4365872925,-8.10092850769,-16.255699341,-8.15511323098,-17.6567858872,-4.25202965934,-10.9083851885,-17.7392039766,-18.791313838,-11.7923894115,-14.7956468941,-22.8637255941,-23.5672583992,-4.94103007046,-4.35334007383,-20.8366351665,-14.1828913837,-20.4355275004,-17.7344557446,-16.012798507,-10.2591046419,-9.3759897429,-13.0265922783,-11.8711594227,-13.0243399216,-12.0455053709,-6.65521177627,-15.1575465993,-12.7496047166
31,-6.20286123155,-21.0197244918,-8.09132257334,-12.4745629398,-7.50572489407,-17.9052770125,-6.46051774579,-9.48130663627,-14.9999025388,-18.7892725252,-10.2227234959,-15.5481702448,-18.9937245665,-14.3970496213,-3.33213693083,-2.79888355409,-18.3071519603,-13.9745989603,-15.5751432744,-14.1515932819,-13.4038814957,-15.29383751,-6.33050440609,-12.6861904615,-10.3344982034,-14.3599113635,-11.1939550063,-5.01760612879,-13.5481804992,-12.9015898059
32,-8.05059064986,-20.5289105409,-7.9963433029,-17.6687795776,-11.9502295146,-18.1956265835,-8.34224136292,-8.57839512572,-12.4814706016,-18.7929183812,-11.348424377,-14.4768532964,-16.4351348364,-15.1792280037,-2.78876518248,-1.78706925465,-16.4556398851,-15.0688753956,-16.7153992705,-13.3231613609,-12.1583345823,-10.0697387862,-5.26015227672,-11.2689008515,-8.62895575925,-14.5230212351,-10.9718149768,-7.50451438649,-11.3619704328,-14.7896173452
33,-8.85749504786,-21.6691391363,-7.75775274188,-11.4548277048,-10.0412837032,-17.3403191404,-8.13441263311,-7.65862909603,-10.2820241081,-18.7602227142,-9.65888880832,-13.5240799301,-14.6415540766,-10.7980825775,-2.77731414526,-1.12308076942,-15.7377512015,-14.8232469802,-13.3758079119,-14.6652531646,-10.1588771869,-10.1100301579,-6.98587882094,-13.3080973876,-6.26962614765,-13.6654490867,-10.6772950556,-12.1790778109,-9.9417909089,-18.6844436512
34,-10.4405396039,-21.7965857291,-6.73372565987,-14.0861465798,-8.02736868775,-18.0717222104,-10.2631387157,-9.78288360495,-13.0042614431,-18.763993447,-13.07987351,-16.8728085448,-19.0711073796,-8.38475359467,-20.1293383239,-5.75042051387,-16.9305549465,-15.1850880274,-12.6189165319,-13.9134594716,-11.2116338131,-10.4614784761,-5.12842012525,-15.0921760635,-5.68511468644,-12.4121746249,-12.8125373227,-9.40553175631,-10.3291340984,-23.8808756618
35,-13.3218002774,-24.9747805728,-5.32506567261,-14.9134891427,-10.2003721446,-17.9959128512,-10.2829762466,-11.4699134103,-15.1683101825,-18.7749055403,-12.6722362039,-18.549252508,-20.9403983711,-13.8132264303,-18.3375217649,-9.08439220692,-14.5430262094,-15.3548688643,-10.6334892182,-16.8700793315,-16.7957791889,-17.3090983182,-10.9389256106,-17.1394518588,-8.7208591467,-11.8149975238,-14.1099635607,-18.5666022048,-11.2590621811,-21.2427115784
36,-11.9998146676,-21.8499903143,-5.09341267846,-10.8071509918,-8.23931509023,-17.9306275706,-9.69281099686,-11.5498103655,-13.3392947601,-18.754236599,-10.8999808099,-17.4747550516,-16.0599142992,-14.9088869189,-15.4883311847,-8.97356449567,-12.9374212839,-20.8013988165,-9.5009241844,-16.4451247219,-18.1377084095,-9.84443657769,-12.7554789235,-16.1006808298,-9.84826731763,-11.7402590934,-12.5545755349,-11.9055118026,-13.8940775128,-18.0934722846
37,-9.09796071623,-22.3115728278,-7.63254537676,-12.7965558211,-7.53968479134,-18.1151759813,-7.78966684236,-11.5242485602,-17.894037343,-18.7507927751,-9.20109824948,-19.4903641747,-18.5752773384,-22.0528003303,-12.652225406,-6.5476554499,-13.4665096576,-18.6609483219,-15.1440475508,-15.7990825095,-18.6409872635,-8.7833261758,-16.1687961847,-15.5453217792,-10.8358938776,-12.5642265819,-14.1316448638,-10.240092975,-15.1677342021,-14.4172064475
38,-7.72005568788,-20.7737658122,-8.45678939884,-10.2242185521,-6.91023623697,-18.0907128084,-9.34596801911,-14.0130945461,-17.1688043969,-18.7695920298,-7.89736182197,-19.8787824247,-16.4757407609,-21.1783144458,-16.096040247,-9.82439784974,-12.9383568374,-16.9460981208,-12.0470106225,-13.4682782688,-15.5043849139,-25.2718058159,-23.7059550393,-15.4728396697,-12.4603044262,-12.7264886759,-13.926898588,-8.85906579977,-14.2383018728,-7.85247495892
39,-13.8140278839,-20.9403438727,-8.60119654918,-18.7361171382,-13.4172322762,-18.2292222787,-13.8254796387,-18.2003354311,-39.4137021858,-18.8172236869,-17.944267644,-21.6185976893,-23.6726686418,-30.5095472903,-20.5207377964,-17.9967829013,-15.2708914987,-16.9963720581,-14.7310272755,-5.34675700864,-18.9004042933,-20.7845718827,-24.6896229326,-15.7634089903,-14.0219166901,-22.4887604526,-20.9217427947,-12.5143907855,-14.4919187815,-18.8298069757
