,0
117,-44572.59888231786
118,-44563.23955556512
119,-44555.32876459574
120,-44555.63634957494
121,-44556.59415461514
122,-44558.88950859825
123,-44570.892211400176
124,-44556.483335156445
125,-44550.90329656826
126,-44554.763399534655
127,-44567.363176476734
128,-44560.28632871821
129,-44563.74678532056
130,-44520.8408066844
131,-44549.21107515386
132,-44566.742868944304
133,-44557.67572667074
134,-44563.20738849219
135,-44576.632995394895
136,-44576.92763182222
137,-44571.52413710948
138,-44555.29434676531
139,-44586.92033694706
140,-44550.17784706518
141,-44573.38348016189
142,-44568.51133997226
143,-44564.13513908961
144,-44574.463949432844
145,-44551.55328204407
146,-44575.07943963821
147,-44561.03009698756
148,-44573.453270317805
149,-44570.93712116367
150,-44586.88605302131
151,-44551.46415353425
152,-44560.87221184361
153,-44573.34066854365
154,-44582.80649824142
155,-44557.791197738654
156,-44570.17713906187
157,-44570.969385869466
158,-44553.47177450852
159,-44541.34978926416
160,-44567.28186160481
161,-44576.32494609123
162,-44559.41624099001
163,-44557.81782305654
164,-44550.1915505489
165,-44578.61627100529
166,-44596.92066896865
167,-44581.371615537464
168,-44558.18308695355
169,-44586.116420266684
170,-44566.80067841579
171,-44559.31718470329
172,-44575.92534955673
173,-44553.905085523314
174,-44554.967301904406
175,-44579.15506655744
176,-44541.37506871281
177,-44562.44749118895
178,-44562.2074907652
179,-44571.70888738071
180,-44572.58160085599
181,-44577.385477568125
182,-44563.1577759068
183,-44596.63915480258
184,-44569.1697914791
185,-44572.412068480655
186,-44567.32367841264
187,-44571.34192737978
188,-44554.17687716625
189,-44585.682994243565
190,-44562.98774355625
191,-44555.36863364288
192,-44547.47927304452
193,-44598.66796359791
194,-44562.63270354915
195,-44570.87763293141
196,-44565.30272507848
197,-44580.24158897009
198,-44553.352013039956
199,-44532.70729089276
200,-44572.04506805159
201,-44561.117272726326
202,-44584.19215126932
203,-44550.825451613084
204,-44559.55283905939
205,-44587.885892354025
206,-44573.532012615935
207,-44576.532413894995
208,-44572.957164057836
209,-44550.24148509721
210,-44577.20065349523
211,-44562.59585760358
212,-44571.4949312473
213,-44548.47699560489
214,-44579.215325019424
215,-44578.37015347909
216,-44581.28549125078
217,-44560.17552467748
218,-44607.42400412419
219,-44559.641488289315
220,-44545.56540900117
221,-44565.29549265381
222,-44564.880517625366
223,-44588.72294717372
224,-44542.96582047842
225,-44589.71250877211
226,-44566.386875074335
227,-44557.158386036885
228,-44563.184576348634
229,-44536.92558191471
230,-44570.05845575037
231,-44560.27368092701
232,-44554.25976319117
233,-44591.62227784024
234,-44596.476686454494
235,-44570.45665855626
236,-44550.01254186991
237,-44568.56539618827
238,-44549.45009310143
239,-44542.99458218801
240,-44560.643361375565
241,-44571.55054043038
242,-44573.98819384813
243,-44577.3247229468
244,-44566.45917713948
245,-44557.88961333144
246,-44546.05467593875
247,-44585.04211379847
248,-44585.5363840965
249,-44531.91957344397
250,-44556.070793709354
251,-44548.18927851193
252,-44561.31706344618
253,-44590.42480263961
254,-44597.16626728105
255,-44579.66301388985
256,-44581.99719701483
257,-44534.90023018041
258,-44586.385621919595
259,-44582.698920922245
260,-44572.0824507798
261,-44614.05241376032
262,-44556.244402528464
263,-44564.791995119725
264,-44579.59133769576
265,-44587.2947649499
266,-44549.830377068065
267,-44560.0641933745
268,-44588.807523457595
269,-44568.82424349118
270,-44539.07197685203
271,-44540.776373040106
272,-44555.93299631702
273,-44560.807350056464
274,-44573.08275181617
275,-44576.76219684738
276,-44546.12592494699
277,-44578.99223881841
278,-44575.73133294433
279,-44548.00221693081
280,-44553.8061561981
281,-44568.25627554758
282,-44557.501557688985
283,-44576.70204844141
284,-44532.87444938539
285,-44612.11558421434
286,-44576.57428072642
287,-44576.046349782584
288,-44571.37256535611
289,-44548.47979411775
290,-44572.58407277683
291,-44583.006750399225
292,-44569.97688271574
293,-44562.824914273195
294,-44562.24127080257
295,-44556.82138285031
296,-44553.33566606218
297,-44559.79702997601
298,-44569.63746790205
299,-44567.617419024216
300,-44551.466018826555
301,-44576.0209178161
302,-44569.5646913001
303,-44579.28050640998
304,-44554.16372494657
305,-44563.01403272175
306,-44569.47772572229
307,-44559.414100193426
308,-44552.59680512611
309,-44555.07339251741
310,-44566.78079608794
311,-44545.37169068628
312,-44547.82932792349
313,-44588.217019939504
314,-44557.259970780186
315,-44557.79611319871
316,-44555.46211256046
317,-44542.46004557468
