,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,-2.19685240234,-2.12036397524,-2.0103344048,-1.76233654196,-1.92899246941,-1.90476680042,-1.76167762437,-1.98324366891,-2.03670635253,-2.03996576167,-1.83852815578,-1.76367757707,-1.96516329291,-1.82822695864,-1.9573479992,-2.00167025929,-2.06006381833,-1.63908364139,-1.9237949354,-1.93111509404,-1.80098133218,-1.86166491887,-2.04935633962,-2.01440933035,-1.93393690635,-2.03215008378,-1.83848310601,-2.04453220372,-1.8761449086,-2.18037407282
1,-8.99372098459,-37.2615465893,-12.4774246323,-1.68843083,-17.0731106737,-7.91826599221,-5.83769717513,-9.98728678754,-12.5465170495,-15.9298531388,-9.02860023693,-5.23770444742,-7.14664039181,-9.07048945463,-10.3740188535,-7.92775328298,-8.55430728254,-2.8830225726,-8.63246714606,-4.54488313647,-5.94900429,-8.70166279148,-10.352341367,-7.76755043468,-10.1195349203,-11.8995127402,-3.35683266194,-6.56703899471,-8.95829790939,-13.5071602859
2,-6.9837982348,-31.7024504139,-10.6006897226,-8.9138900645,-13.9389961118,-5.71387922458,-3.8944344813,-9.03906920821,-12.2105566381,-13.2316279203,-6.67422565196,-3.65726653025,-5.11318525758,-6.45499173328,-10.5525525297,-7.3372412041,-6.95503847422,-1.67584568077,-8.37791333656,-4.47749366804,-5.59044815367,-7.74183614799,-7.9899764069,-9.83869580396,-7.67959700689,-14.4199804633,-2.04613698617,-4.40444662457,-7.13393226341,-12.1585474284
3,-7.12231361103,-27.6844176167,-9.25161420837,-8.89998435737,-15.5290379565,-7.28040855148,-2.87914066123,-8.28502783958,-11.5868199101,-11.0494921041,-7.50231362874,-5.33459307229,-4.23680942762,-8.78750351994,-12.7384442609,-9.029240982,-7.27252922722,-2.92605262889,-7.29255728981,-4.77297178239,-4.43173474712,-7.0028082178,-6.61265298171,-10.0769236092,-7.00115728231,-21.2547150553,-3.26812117425,-6.8922252248,-8.34469464567,-14.3110271978
4,-9.71989391574,-25.3336365441,-9.37852940136,-7.35890021657,-14.6869106294,-6.19425966937,-3.19489070813,-9.20777314427,-11.460336646,-10.0913060879,-6.72678660418,-5.87484763718,-5.05544172872,-9.2047536996,-10.7527835196,-11.0396546072,-10.9380183943,-2.43883478314,-6.40135174049,-5.59912586648,-4.08190889044,-7.85360723875,-7.04144117917,-9.57962430381,-6.17828541073,-18.9011627386,-6.84463215221,-7.629076546,-7.3835183983,-13.3583439513
5,-8.5263886083,-23.0377440529,-8.69641969689,-6.41974153442,-12.924154649,-5.90537956527,-2.69535786692,-8.50490857928,-11.4521591381,-11.0849765782,-6.72594187623,-6.17155807024,-6.59751721649,-8.40665695127,-13.6923803782,-10.2678642766,-10.0524363814,-2.51145219157,-6.3268816382,-4.89773281501,-3.98174126067,-9.74362774296,-9.42238321257,-9.67328645376,-6.54313001256,-19.2426282256,-6.11063123987,-6.92927380437,-6.89001631008,-12.2373406336
6,-7.62443781021,-20.3393898049,-7.90006227287,-5.62482049583,-14.3783742754,-6.50062015648,-2.52400581912,-9.05646146844,-10.42262348,-9.96753515943,-6.07299367537,-5.39124918556,-6.0646969169,-7.43668051945,-12.0777871548,-9.2969789774,-9.87007707429,-3.45998940101,-5.91203376635,-4.64182250021,-3.89153691942,-8.71455479579,-8.57136853552,-8.9439997761,-6.00385461237,-23.6471579974,-5.95703255287,-6.42875460624,-6.53388240876,-11.6549208744
7,-8.15069442671,-21.8220234854,-7.29099228297,-4.9512784303,-12.866477688,-7.14057078755,-3.38774048193,-8.49516163329,-12.5693119674,-11.4145261698,-6.63210522745,-5.72107942992,-8.5091622513,-7.73348433363,-13.8173137376,-9.39305827737,-10.0566344298,-5.26935018967,-5.48232451116,-5.7364741137,-4.87062723673,-11.8294981889,-8.97057766475,-9.46629715445,-7.0273103276,-21.5624479593,-6.11216815445,-8.44817752404,-6.44453006363,-10.559786694
8,-7.73541481399,-23.0767755464,-8.17610334914,-4.20929747567,-11.6060587606,-6.37870191315,-3.05438188577,-8.00375458768,-12.6553555915,-11.3408920019,-6.64085533535,-5.23463941213,-7.9717762728,-6.85879252768,-12.4822983827,-8.72808397653,-9.95597123392,-6.28328495898,-7.41089038576,-5.25737557934,-6.17398812226,-12.9561685231,-8.96643794948,-11.6592476278,-6.50568201472,-26.7207562779,-5.47707874539,-7.98114536744,-5.86830231316,-9.71169121213
9,-7.52953929992,-21.1898425971,-8.22482359767,-5.34477005328,-10.3567869013,-5.8195617643,-5.50195877547,-7.79397351085,-11.9227202286,-10.3591602426,-5.88734198038,-4.51409000125,-7.46578609987,-8.2133035084,-11.5546347103,-8.02692511475,-9.54326810527,-5.54647147408,-7.95420902036,-5.01479124837,-5.8338346752,-11.2168810646,-8.57606216412,-11.4212173191,-5.95235656233,-25.7036251261,-6.22745556916,-9.13872607591,-5.82872861913,-10.1996602524
10,-8.84841543788,-21.9305232024,-11.4526427413,-4.51800360234,-9.64641041958,-9.93122944084,-5.62125809333,-8.25951243573,-11.4162217053,-14.2511633723,-8.45339119948,-4.94050836927,-9.69350522087,-9.79029708781,-11.502211906,-11.2909831391,-8.8726751122,-5.58559488466,-8.17468069373,-8.31948209617,-5.92811655503,-20.6634731326,-8.91539477555,-11.3494589365,-7.79312649922,-22.9795556526,-5.92808327657,-9.28841858929,-9.4524923943,-9.36193966155
