,0,1
0,-0.1,-44597.020905124664
1,-0.09000000000000001,-44581.559905685186
2,-0.08000000000000002,-44591.61568373503
3,-0.07000000000000002,-44586.53841589867
4,-0.060000000000000026,-44590.291483403824
5,-0.05000000000000003,-44595.093670945236
6,-0.040000000000000036,-44594.46414294785
7,-0.03000000000000004,-44584.562161963986
8,-0.020000000000000046,-44579.842875494665
9,-0.01000000000000005,-44568.640767366356
10,-5.551115123125783e-17,-44594.54020121151
11,0.00999999999999994,-44599.1040904437
12,0.019999999999999934,-44595.033995566795
13,0.029999999999999943,-44605.49292259449
14,0.039999999999999925,-44572.23188399739
15,0.049999999999999906,-44594.12069231852
16,0.059999999999999915,-44608.80591845602
17,0.06999999999999992,-44562.300320592665
18,0.0799999999999999,-44567.0563154127
19,0.08999999999999989,-44569.98623656985
20,0.0999999999999999,-44577.24815902038
21,0.1099999999999999,-44575.802228569344
22,0.11999999999999988,-44581.12759054382
23,0.12999999999999987,-44587.35683914124
24,0.13999999999999987,-44596.76281316597
25,0.14999999999999988,-44566.28652125168
26,0.1599999999999999,-44580.73088000124
27,0.16999999999999985,-44578.89098794354
28,0.17999999999999985,-44559.233306911716
29,0.18999999999999986,-44578.971504823974
30,0.19999999999999982,-44572.148750339984
31,0.20999999999999983,-44562.61898344431
32,0.21999999999999983,-44574.220772586355
33,0.22999999999999984,-44560.96201489081
34,0.23999999999999985,-44604.22485103592
35,0.2499999999999998,-44568.002319733685
36,0.2599999999999998,-44540.42262876686
37,0.2699999999999998,-44577.84056320277
38,0.2799999999999998,-44581.05552643729
39,0.2899999999999998,-44560.18305693353
40,0.2999999999999998,-44601.574125144136
41,0.30999999999999983,-44555.65563687572
42,0.31999999999999984,-44561.57965977489
43,0.32999999999999974,-44575.519891017
44,0.33999999999999975,-44538.50247285467
45,0.34999999999999976,-44567.88976889143
46,0.35999999999999976,-44542.778084512334
47,0.3699999999999998,-44558.25269207757
48,0.3799999999999998,-44546.6328824334
49,0.3899999999999998,-44546.03875719503
50,0.3999999999999998,-44575.8795716417
51,0.4099999999999998,-44542.41460908799
52,0.4199999999999998,-44555.276553940865
53,0.4299999999999997,-44554.931838494
54,0.4399999999999997,-44531.2257208111
55,0.44999999999999973,-44549.84040985603
56,0.45999999999999974,-44541.19455156886
57,0.46999999999999975,-44549.37669142427
58,0.47999999999999976,-44538.454522111526
59,0.48999999999999977,-44539.201280373476
60,0.49999999999999967,-44545.33164863425
61,0.5099999999999997,-44542.23770268915
62,0.5199999999999997,-44539.67643786904
63,0.5299999999999997,-44523.742691381834
64,0.5399999999999997,-44536.4196465869
65,0.5499999999999997,-44550.66609724805
66,0.5599999999999997,-44548.700397841894
67,0.5699999999999997,-44547.12299982963
68,0.5799999999999997,-44549.570784663796
69,0.5899999999999996,-44555.077737249994
