,0,1,2
0,-2.09016781527,-2.17259333802,-2.08722693239
1,-9.49664193308,-8.35487154238,-10.336738767
2,-9.04769979062,-9.25902380644,-10.4414868948
3,-8.66095751989,-8.68856583021,-9.79308483166
4,-8.42094905213,-8.26346894264,-9.27175879145
5,-9.44442022492,-9.46812793594,-12.121168283
6,-9.01301210393,-9.05101849654,-11.2489467013
7,-8.95128863987,-9.1042877071,-12.0105436125
8,-8.72894206264,-8.54547163685,-11.4279708349
9,-8.45688286551,-8.27030799534,-10.9126674239
10,-8.22257296084,-8.02596529575,-11.6827015205
11,-8.45879167398,-7.64972995735,-11.1042680348
12,-8.74888325581,-8.41359180797,-11.492880238
13,-8.70060185525,-9.06671708275,-10.8222407685
14,-8.4236019033,-8.62959622871,-10.3164998767
15,-8.33094889342,-8.23854722484,-9.65330532167
16,-8.10726608767,-8.39327410842,-9.04901332297
17,-7.89527311781,-7.98488993519,-8.75501558733
18,-8.794338983,-8.68272559696,-10.5973265459
19,-8.63681303354,-8.59416860316,-10.0186753046
20,-8.67844961811,-8.22385034868,-9.86810681089
21,-8.79921885415,-8.23577177761,-9.52425937651
22,-9.68632227948,-9.12774574711,-10.5583461582
23,-9.33875931827,-8.65826870009,-9.95130555956
24,-9.0396636082,-8.19980382622,-9.36289058915
25,-8.9550220258,-8.21099168105,-8.91613763263
26,-8.60367493378,-8.22853756566,-8.70443767652
27,-8.21382425908,-7.86205205363,-8.36293604597
28,-8.06205896031,-7.52685638846,-8.10902531417
29,-7.92601246681,-7.58852048773,-7.81813694284
30,-7.72963672845,-7.38302883844,-8.50399429901
31,-7.72407285956,-7.37153087518,-8.1010339692
32,-7.4217080963,-7.13126014475,-7.80788114924
33,-7.74393084058,-6.99183144758,-7.67933563912
34,-7.60147098399,-6.94245057841,-7.59277297096
35,-7.37674168775,-6.74599245213,-7.59372783847
36,-7.22192169061,-6.55831212359,-7.39267782692
37,-7.46460467466,-6.59585818247,-7.83372370559
38,-8.48038254293,-7.07089659438,-8.71151945452
39,-8.43892698075,-7.58170445228,-9.02632967957
40,-8.99330918894,-7.71574491918,-9.12713679368
41,-8.65531834956,-7.40768313097,-8.8519647329
42,-8.40583632399,-7.19281126513,-8.44559954329
43,-8.08617673429,-6.91673815432,-8.22539082717
44,-8.00945419321,-6.74460594643,-8.38909509159
45,-7.88914464164,-6.72790999959,-8.72719529429
46,-7.79156365256,-6.60782845732,-8.88365775458
47,-8.22032920736,-7.27089453726,-10.3946969595
48,-8.17954085272,-7.51625027975,-10.5816063079
49,-8.02320568796,-7.80187627414,-10.7224953798
50,-7.82027436537,-7.54389047926,-10.0987604419
51,-8.61116893701,-7.85674811974,-9.78190198034
52,-8.69334838359,-9.93410254311,-12.0719929864
53,-8.58205595592,-9.89270906545,-11.5369617773
54,-8.29858014581,-9.37419438995,-10.8140639468
55,-8.80237350497,-9.07427061514,-12.6529901597
56,-8.90548984293,-9.262534371,-12.0283781181
57,-8.83705943329,-8.95227620235,-11.2626906833
58,-8.99201739451,-8.61654158462,-11.7447970521
59,-8.77636950915,-8.89717299735,-11.3170606086
60,-8.50276757523,-8.43238262752,-10.4720743649
61,-9.06243765842,-9.64363673316,-15.3488555044
62,-8.90308768263,-9.31194553744,-14.4091257238
63,-13.1263893594,-13.5601702748,-17.6130666846
64,-12.40130743,-12.3193444112,-18.6368082826
65,-11.9292948245,-11.4779592651,-16.7196644874
66,-11.2502079434,-10.384876703,-14.8203427533
67,-10.472136488,-10.2869720249,-13.3722910841
68,-9.95647545429,-9.54676165576,-12.2882761553
69,-9.32813690032,-9.35556388606,-11.7536682154
70,-9.09843751422,-8.86460542372,-10.7294281935
71,-8.74074492496,-8.90458140812,-10.0849382106
72,-8.41069274652,-8.45814934967,-10.761664953
73,-8.83894829558,-8.03358165852,-11.2278756233
74,-9.98841105834,-8.42852166893,-13.8432350467
75,-11.8447207327,-9.72303650705,-13.7516222664
76,-12.0433603225,-9.893681619,-16.5928280875
77,-11.2095725277,-9.27116066961,-14.9222552144
78,-10.5497400142,-8.70745212295,-13.6059441964
79,-10.0998968562,-8.35781880387,-12.5154533438
80,-9.61739698557,-8.75381982633,-12.518915174
81,-9.45473492613,-8.42824330897,-11.8223943859
82,-9.31049203869,-8.29610271037,-10.9520898909
83,-9.62903455561,-8.22819187172,-11.4181690194
84,-9.69911236633,-8.08805811122,-10.6755244556
85,-9.16014114057,-7.89028051323,-11.1046130126
86,-8.88939946114,-7.72852222653,-11.146654367
87,-8.56524094613,-7.42512611258,-12.461982476
88,-8.4114091542,-7.3138256134,-13.4576508151
89,-10.6466408232,-9.67496728973,-13.6532828711
90,-10.0438228403,-9.05984291613,-12.4518865315
91,-10.0683349823,-8.90043827258,-11.9694469263
92,-10.7407004231,-10.3837694845,-11.7833631453
93,-10.6118870976,-9.67093825019,-12.1892844314
94,-10.4484643391,-9.48043643106,-11.6133273112
95,-10.1256113669,-8.92012219919,-10.8960795784
96,-9.93439417242,-8.7795713662,-12.4197640159
97,-10.3015789148,-9.01589577779,-14.1565442099
98,-9.76425617542,-8.5752824097,-13.3347301796
99,-10.1267762644,-12.0098123252,-14.4887767297
100,-9.95177082257,-11.0568670229,-14.3102670625
101,-9.8304484922,-10.5110659596,-13.728148686
102,-9.36138020828,-10.0901230269,-12.7667054193
103,-9.78779995542,-9.45600321759,-13.0337426276
104,-9.71824573849,-9.03577441881,-17.5095535352
105,-9.47121823544,-9.09486861289,-15.8353922943
106,-9.15483153103,-8.82493852138,-15.0017942068
107,-8.68034022663,-8.42432890417,-13.5312524076
108,-9.09169957188,-8.20917726643,-12.3940647491
109,-9.56484559764,-9.90222931607,-13.007847097
110,-9.2297390367,-9.30416682125,-12.1075425925
111,-9.35433014994,-9.57734502549,-13.7778562745
112,-8.95974998623,-9.0721013653,-13.8149160907
