,0,1,2
0,-7.4398122014,-6.89520293042,-4.65150282178
1,-8.85957413041,-7.40778937993,-7.36821295693
2,-8.20725212975,-10.3082130806,-9.32090502424
3,-7.54210983552,-8.2853411542,-7.06210065544
4,-7.13977618722,-5.92928703509,-5.11919331951
5,-9.28612562663,-8.91897677738,-12.3683239556
6,-8.40917323894,-9.06506006916,-8.90716304879
7,-8.5214656281,-8.86908184334,-13.7080247404
8,-8.43680840462,-6.94427106603,-11.5751578585
9,-7.70193465244,-6.59420480307,-8.38946715403
10,-7.81853881805,-4.97857334201,-13.7167448979
11,-7.90719868018,-3.88548416367,-10.4098486038
12,-8.53028957842,-6.30361017652,-11.838192083
13,-8.99182210313,-8.64659627697,-8.64545918594
14,-8.11723181012,-6.96123014514,-7.02458669003
15,-8.36941581122,-5.31925987523,-5.21906904555
16,-7.79605437917,-6.0957575072,-3.72631911526
17,-7.25468442444,-4.29687167943,-4.18452416563
18,-8.7877503098,-6.32722340631,-14.2304815057
19,-8.37494211094,-6.51827254147,-8.99575583238
20,-8.55425624306,-5.49792542982,-7.86875050069
21,-8.62443156761,-6.23093301123,-7.65454654157
22,-9.2278969505,-8.92275023382,-10.3281133581
23,-8.60118953057,-6.59008443343,-7.77966309656
24,-8.44616794326,-4.98873598584,-4.74789577787
25,-8.39182932986,-5.68292775174,-5.00808951678
26,-7.69049616532,-5.57893483924,-5.01700140259
27,-7.02344759691,-4.41296497595,-4.02306505729
28,-6.56616199696,-3.02434255993,-3.31209199596
29,-6.44838953284,-4.40290530095,-3.29340708357
30,-5.88940487086,-3.70357198326,-6.04627040147
31,-6.49316323399,-3.80957841373,-4.48581927583
32,-5.83373384203,-3.02028629114,-2.41203337785
33,-6.87122899855,-3.01959115621,-3.67075640558
34,-6.73252244055,-3.20848297262,-4.0169758057
35,-6.24556542779,-2.38476737038,-4.52389037382
36,-6.03905172994,-1.65091530643,-4.31705487709
37,-6.38129282837,-2.6955740669,-6.61948509569
38,-7.36174772681,-4.43299425089,-9.32441154279
39,-7.28600099493,-6.16907753742,-10.0773641958
40,-8.11651658224,-6.09767768363,-9.00410071625
41,-7.61445278633,-4.50753406859,-7.17205640743
42,-7.07031092125,-2.9110814408,-4.1160760054
43,-6.94887497437,-1.98594546173,-3.41489080486
44,-6.71768540277,-1.30230284846,-6.11796859482
45,-6.46782019506,-2.47194370353,-8.45323809778
46,-6.57583119442,-2.25027123671,-9.98135560554
47,-7.67821916421,-4.84435964916,-12.1006951623
48,-7.73560644894,-5.6896503098,-11.0793587242
49,-7.22163369595,-6.00208213478,-11.6959612115
50,-6.85695795586,-4.94198609304,-7.92343007984
51,-8.73974338627,-6.49094885142,-8.29369805904
52,-8.75320190571,-10.7568105116,-14.4437090846
53,-8.99557520462,-11.1231991203,-12.6784420638
54,-8.36917256666,-8.67387482567,-9.52958949155
55,-9.37701692708,-7.33616030874,-17.0984345425
56,-9.93731861896,-8.78508520632,-13.0076811988
57,-9.76570496992,-6.53529560817,-8.75632176721
58,-9.42536587125,-5.44442680124,-13.7343845582
59,-8.91621324588,-7.35140587571,-12.3996546287
60,-8.33026535419,-5.69714199844,-7.70259846372
61,-9.94402480047,-9.57281665907,-19.0314526003
62,-9.68690749526,-8.24912691801,-16.145143606
63,-14.9404720332,-19.2640950234,-28.9580975558
64,-14.2113255314,-16.7290204231,-41.4096523045
65,-13.6366123579,-15.1477853231,-23.1117949286
66,-13.2066551856,-10.9483212534,-11.500035151
67,-12.5923784223,-11.3314372531,-5.47273525878
68,-11.9451180705,-8.30692649412,-6.038384239
69,-10.8961731403,-8.00569071813,-7.10672650144
70,-10.405650458,-5.60770419777,-4.7641925713
71,-9.83472863945,-6.84946187752,-4.07924118718
72,-9.1777304768,-5.15891065128,-10.1922455165
73,-11.8137454829,-3.57437304424,-13.7656238542
74,-13.5166753027,-6.36133239857,-17.7768079339
75,-13.8261258253,-8.93043048117,-18.0739360646
76,-14.2294147567,-10.1612746072,-34.9689319391
77,-12.9180842062,-6.93510825108,-18.4648607795
78,-12.3561236477,-4.98281940665,-11.7532902164
79,-11.598625155,-4.22013817081,-6.8315722886
80,-10.6252578633,-6.60750972341,-10.1848551957
81,-10.2616385888,-5.83978956006,-8.4777792984
82,-10.1741652742,-5.50460861163,-5.2917810771
83,-10.5838172414,-5.71308252337,-11.699196566
84,-10.626898609,-5.72792535414,-9.9834572457
85,-9.89132510034,-5.24908970629,-11.2261867452
86,-9.57848261844,-4.4797445486,-11.2034198748
87,-8.94480227541,-3.2514286897,-16.5072190683
88,-8.78640561946,-3.57248947541,-17.7634215471
89,-13.0905416447,-6.80151252188,-21.3842555425
90,-12.4894306315,-5.47788967049,-11.0301668561
91,-12.5545112873,-5.66866290736,-10.014201259
92,-13.3359164213,-9.02021228891,-12.5120601524
93,-13.4101640046,-6.44119429852,-16.3727819331
94,-13.0689261182,-7.82039962425,-12.6557948136
95,-12.3546012669,-5.76000309912,-8.50341149105
96,-11.9569414132,-6.09050653346,-13.8897326619
97,-12.5291654102,-7.27694016497,-16.176909809
98,-11.7573958748,-6.48671082222,-15.7417853114
99,-12.0367932573,-16.7366491031,-18.2244020882
100,-11.498519889,-11.7124325003,-18.5979397331
101,-11.089099317,-9.90918525867,-19.2411042002
102,-10.4066348699,-8.71809587224,-15.46177914
103,-10.6272316223,-6.81470079658,-16.8987007858
104,-10.4519477565,-6.07701598206,-18.9027206429
105,-10.0976212833,-7.29863310051,-14.1702679845
106,-9.71214636567,-7.38055977434,-18.7216405331
107,-8.84940679544,-6.37180724293,-9.20877750071
108,-9.36787993362,-5.46880057971,-6.01700988091
109,-9.79305904352,-12.4644040804,-16.0849653033
110,-9.28195563782,-8.32668609329,-11.2881161386
111,-9.77977387767,-9.76268572871,-17.2290423494
112,-9.21096398174,-7.72473076648,-16.0030965407
113,-10.0102005453,-9.60208591396,-16.6121713651
114,-10.6619764848,-13.0491955064,-20.046940787
115,-11.2620805923,-10.5932384584,-20.6733385681
116,-11.9601092724,-11.1954059219,-19.7285494025
117,-11.9445320603,-7.19021165531,-13.8114050918
118,-11.5698376086,-6.10215860131,-11.1368878797
119,-12.8363607323,-9.65553560229,-14.0977897247
120,-11.5154395033,-7.69671017563,-9.66687272104
121,-10.9864909981,-8.20144602626,-7.95435673559
122,-12.2703410839,-8.16643029726,-9.22608305309
123,-12.2871559742,-8.17744598636,-14.2478961816
124,-11.5961934068,-6.5759005152,-10.573320143
125,-10.6028491518,-6.32116572681,-6.88350412642
126,-12.2325869429,-8.33780050456,-12.2621728228
127,-10.9609763731,-7.02007208166,-9.95768315742
128,-9.85117884176,-5.22001081877,-7.92307096608
129,-10.2776045281,-5.25802521698,-9.21832093646
130,-13.1982182005,-7.81361688645,-11.0862752649
131,-12.2747685596,-6.87169353653,-9.26286056187
132,-11.4843130579,-6.18002201383,-8.72754439413
133,-10.8374891339,-5.18276182292,-7.06334094209
134,-10.2788216241,-3.78774060642,-4.19289954705
135,-10.1032394256,-5.46940712094,-11.304315886
136,-9.6842458722,-4.20860127115,-14.5691819378
137,-8.66194690458,-4.33373254544,-13.6813147593
138,-8.92413745356,-3.26218881992,-8.60447681108
139,-9.65691053975,-4.49302434602,-12.6587693179
140,-9.37389897465,-5.39052985862,-11.0993431007
141,-8.56518889017,-4.13412220086,-6.74830477605
142,-7.90306856852,-4.82695514969,-6.12406350899
143,-7.94460944868,-5.11423182721,-12.3735197041
144,-7.92370737989,-7.13815381356,-12.1277707734
145,-7.30683326815,-5.91632891675,-8.35198284605
146,-6.9348150312,-4.24253759524,-4.89902129856
147,-6.62180557417,-2.94330931725,-7.87496781035
148,-8.75863488045,-5.91199807935,-11.95454809
